feature,OR,ci_low,ci_high,p_value
age_category,0.402,0.316,0.512,1.7433872020252848e-13
overweight,1.69,1.317,2.17,3.791535637237137e-05
alcohol,1.624,1.288,2.046,4.08334563941235e-05
bpmdate6mo,5.318,2.188,12.926,0.00022596814721947866
exercise,0.801,0.618,1.037,0.09245675063606919
artyr,1.078,0.943,1.234,0.2717047485605367
hc4,1.116,0.88,1.416,0.36633397237249143
smoke,0.892,0.608,1.308,0.5581697812622379
female,0.974,0.779,1.217,0.81607999419927
