group,n,prevalence,ci_low,ci_high
overall,2645,0.13572778827977316,0.1224952741020794,0.14896030245746691
"age=0, female=0",673,0.1649331352154532,0.13818722139673106,0.19316493313521546
"age=0, female=1",717,0.200836820083682,0.17154811715481172,0.22876569037656883
"age=1, female=0",535,0.102803738317757,0.07845794392523364,0.12714953271028012
"age=1, female=1",720,0.06805555555555555,0.05,0.08888888888888889
