feature,IV,strength
phenotype_cluster,2.9784,suspicious
bp_systolic_bin,2.8506,suspicious
pp_tertile,0.2873,medium
age_category,0.1947,medium
marital_status,0.0797,weak
overweight,0.057,weak
alcohol,0.0517,weak
bpmdate6mo,0.0339,weak
exercise,0.0088,useless
artyr,0.0046,useless
hc4,0.0026,useless
smoke,0.0011,useless
female,0.0002,useless
